[ 2024-08-03 02:12:31,920  22 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-08-03 02:12:59,327  26 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-08-03 02:12:59,328  41 COMPONENTS - INFO - Starting data transformation]
[ 2024-08-03 02:12:59,328  42 COMPONENTS - INFO - Removing Unwanted Columns]
[ 2024-08-03 02:13:00,025  46 COMPONENTS - INFO - Removed Unwanted Columns]
[ 2024-08-03 02:13:00,026  47 COMPONENTS - INFO - Changing Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:13:01,059  58 COMPONENTS - INFO - Changed Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:13:01,059  59 COMPONENTS - INFO - Merging similar products to simplify target variable]
[ 2024-08-03 02:13:06,052  68 COMPONENTS - INFO - Merged similar products to simplify target variable]
[ 2024-08-03 02:13:06,052  69 COMPONENTS - INFO - Changing the subProduct value from I do not know to -> Debt Collection so that it could be usefull for the customer complaint column]
[ 2024-08-03 02:13:06,779  73 COMPONENTS - INFO - Changed the subProduct value from I do not know to -> Debt Collection]
[ 2024-08-03 02:13:06,779  74 COMPONENTS - INFO - Replacing all NaN values with the empty strings so that we can combine all the columns into one]
[ 2024-08-03 02:13:08,254  81 COMPONENTS - INFO - Replaced all NaN values with the empty strings]
[ 2024-08-03 02:13:08,254  82 COMPONENTS - INFO - Combining all the columns to form single input column]
[ 2024-08-03 02:13:44,375  86 COMPONENTS - INFO - Combined all the columns to form single input column]
[ 2024-08-03 02:13:44,379  87 COMPONENTS - INFO - Removing for duplicate rows]
[ 2024-08-03 02:15:02,415  91 COMPONENTS - INFO - Removed for duplicate rows]
[ 2024-08-03 02:15:02,431  92 COMPONENTS - INFO - Downsampling the train data,since it has imbalance in classes. Also creating train test split]
