[ 2024-08-03 02:30:04,481  22 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-08-03 02:30:34,831  26 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-08-03 02:30:34,837  41 COMPONENTS - INFO - Starting data transformation]
[ 2024-08-03 02:30:34,837  42 COMPONENTS - INFO - Removing Unwanted Columns]
[ 2024-08-03 02:30:35,616  46 COMPONENTS - INFO - Removed Unwanted Columns]
[ 2024-08-03 02:30:35,616  47 COMPONENTS - INFO - Changing Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:30:36,628  58 COMPONENTS - INFO - Changed Product name where Other financial service was not needed to the real Product that should be there]
[ 2024-08-03 02:30:36,628  59 COMPONENTS - INFO - Merging similar products to simplify target variable]
[ 2024-08-03 02:30:41,642  68 COMPONENTS - INFO - Merged similar products to simplify target variable]
[ 2024-08-03 02:30:41,642  69 COMPONENTS - INFO - Changing the subProduct value from I do not know to -> Debt Collection so that it could be usefull for the customer complaint column]
[ 2024-08-03 02:30:42,373  73 COMPONENTS - INFO - Changed the subProduct value from I do not know to -> Debt Collection]
[ 2024-08-03 02:30:42,373  74 COMPONENTS - INFO - Replacing all NaN values with the empty strings so that we can combine all the columns into one]
[ 2024-08-03 02:30:43,751  81 COMPONENTS - INFO - Replaced all NaN values with the empty strings]
[ 2024-08-03 02:30:43,751  82 COMPONENTS - INFO - Combining all the columns to form single input column]
[ 2024-08-03 02:31:09,962  86 COMPONENTS - INFO - Combined all the columns to form single input column]
[ 2024-08-03 02:31:09,965  87 COMPONENTS - INFO - Removing for duplicate rows]
[ 2024-08-03 02:32:26,299  91 COMPONENTS - INFO - Removed for duplicate rows]
[ 2024-08-03 02:32:26,303  92 COMPONENTS - INFO - Downsampling the train data,since it has imbalance in classes. Also creating train test split]
[ 2024-08-03 02:32:35,309  117 COMPONENTS - INFO - Downsampled the train data. Also created train test split]
[ 2024-08-03 02:32:35,310  118 COMPONENTS - INFO - Downsampling the test data,since it has imbalance in classes.]
[ 2024-08-03 02:32:35,934  137 COMPONENTS - INFO - Downsampled the test data,since it has imbalance in classes.]
[ 2024-08-03 02:32:35,934  138 COMPONENTS - INFO - Preprocessing the train and text data]
[ 2024-08-03 02:34:44,162  162 COMPONENTS - INFO - Converted text data into numerical vector representation using TF-IDF]
[ 2024-08-03 02:34:44,177  163 COMPONENTS - INFO - Converting ylabels to classes using LabelEncoder]
[ 2024-08-03 02:34:44,479  169 COMPONENTS - INFO - Converted ylabels to classes using LabelEncoder]
[ 2024-08-03 02:34:44,479  170 COMPONENTS - INFO - Data Transformation Finished]
[ 2024-08-03 02:34:44,479  171 COMPONENTS - INFO - Saving the transformed X_train,X_test,y_train and y_test into Artifact Folder]
[ 2024-08-03 02:35:16,677  178 COMPONENTS - INFO - Saved the transformed X_train,X_test,y_train and y_test into Artifact Folder]
