[ 2024-08-03 15:31:07,781  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-08-03 15:31:08,188  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/consumerComplaint"]
[ 2024-08-03 15:31:08,189  107 dagshub - INFO - Repository sanket-profile/consumerComplaint initialized!]
[ 2024-08-03 15:31:08,262  25 COMPONENTS - INFO - Initiating prediction]
[ 2024-08-03 15:31:08,262  26 COMPONENTS - INFO - Preprocessing the input text]
[ 2024-08-03 15:31:08,262  30 COMPONENTS - INFO - Preprocessed the input text]
[ 2024-08-03 15:31:08,263  31 COMPONENTS - INFO - Loading the tfidf vectorizer and model]
[ 2024-08-03 15:31:08,324  42 COMPONENTS - INFO - Loaded the tfidf vectorizer and model]
[ 2024-08-03 15:31:08,324  43 COMPONENTS - INFO - Applying the tfidf vectorizer on out input text]
[ 2024-08-03 15:31:08,337  47 COMPONENTS - INFO - Applyied the tfidf vectorizer on out input text]
[ 2024-08-03 15:31:08,337  48 COMPONENTS - INFO - Initiating model and making it ready for prediction]
